,Name,Test Frequency,Control Frequency
302,Well_M15.fcs,93.3,17.9
303,Well_M16.fcs,95.2,18
304,Well_M17.fcs,96,16.2
305,Well_M18.fcs,90.5,17.2
306,Well_M19.fcs,90,17.1
307,Well_M20.fcs,88.9,17.3
308,Well_M21.fcs,92.5,17.7
309,Well_M22.fcs,93.7,15.4
310,Well_M23.fcs,89.1,56
311,Well_M24.fcs,12.1,10.7
312,Well_N01.fcs,99.9,29.5
313,Well_N02.fcs,98.1,20.6
314,Well_N03.fcs,98.2,24.2
315,Well_N04.fcs,98,19.9
316,Well_N05.fcs,98.1,18.6
317,Well_N06.fcs,98.8,18.8
318,Well_N07.fcs,92.8,18.6
319,Well_N08.fcs,95.2,18.5
320,Well_N09.fcs,93.3,18.2
321,Well_N10.fcs,91.4,17.6
322,Well_N11.fcs,93.4,20.6
323,Well_N12.fcs,93.1,17.5
324,Well_N13.fcs,91.4,18.6
325,Well_N14.fcs,94.7,17.1
326,Well_N15.fcs,95.5,18.9
327,Well_N16.fcs,96.8,16
328,Well_N17.fcs,93.1,17
329,Well_N18.fcs,88.5,16.4
330,Well_N19.fcs,94,17.8
331,Well_N20.fcs,91.9,16.1
332,Well_N21.fcs,92.6,16.3
333,Well_N22.fcs,89.6,15.5
334,Well_N23.fcs,86.1,54.2
335,Well_N24.fcs,11.3,0
336,Well_O01.fcs,100,25
337,Well_O02.fcs,98,19.7
338,Well_O03.fcs,98.8,22.8
339,Well_O04.fcs,97.1,19.3
340,Well_O05.fcs,98.9,18.9
341,Well_O06.fcs,98,20.7
342,Well_O07.fcs,92.9,17.8
343,Well_O08.fcs,95.1,18.3
344,Well_O09.fcs,96.5,19.3
345,Well_O10.fcs,90,19.5
346,Well_O11.fcs,93.3,17.6
347,Well_O12.fcs,92.4,17.4
348,Well_O13.fcs,90.5,19.8
349,Well_O14.fcs,96.4,17.5
350,Well_O15.fcs,95.5,16.3
351,Well_O16.fcs,91.5,16.5
352,Well_O17.fcs,90.7,16.2
353,Well_O18.fcs,86.8,16.3
354,Well_O19.fcs,87,17.7
355,Well_O20.fcs,88.4,17.4
356,Well_O21.fcs,87.8,15.5
357,Well_O22.fcs,90.5,15.2
358,Well_O23.fcs,89.1,59.9
359,Well_O24.fcs,12.1,3.03
360,Well_P01.fcs,100,35.6
361,Well_P02.fcs,97.1,19.8
362,Well_P03.fcs,96.1,20
363,Well_P04.fcs,95.2,19.4
364,Well_P05.fcs,96.8,20.3
365,Well_P06.fcs,96.1,19.2
366,Well_P07.fcs,96.5,20
367,Well_P08.fcs,93.2,18.3
368,Well_P09.fcs,96.1,18.2
369,Well_P10.fcs,89.6,16.4
370,Well_P11.fcs,91.5,19.7
371,Well_P12.fcs,91.8,19.4
372,Well_P13.fcs,88.6,17.7
373,Well_P14.fcs,93.3,18.8
374,Well_P15.fcs,94.1,17.2
375,Well_P16.fcs,87.4,17.9
376,Well_P17.fcs,91.5,17.5
377,Well_P18.fcs,76.3,15.8
378,Well_P19.fcs,89.6,17.1
379,Well_P20.fcs,92.1,16.9
380,Well_P21.fcs,90.2,16.4
381,Well_P22.fcs,91.1,17.3
382,Well_P23.fcs,89.3,65.3
383,Well_P24.fcs,27.9,4.65
384,Mean,91.9,19.4
385,SD,15.8,9.55
